case_id,title,problem,solution,tags
C-001,Low water pressure at farthest tap (Phase 1),Water pressure at farthest fixtures was below requirement during testing. Complaints expected post-handover. Problem noted after a weather event.,"Verified pump curve, PRVs, valve positions, and pipe sizing. Root cause: partially closed isolation valve and undersized branch. Corrective: open/label valves, adjust PRV, resize branch if needed. Prevent: valve tagging and hydraulic review. Recorded actions in the NCR log and obtained consultant sign-off.","mep,plumbing"
C-002,Rebar cover nonconformance (Level 3),Cover meter inspection showed insufficient cover in localized areas before casting. Durability and corrosion risk flagged by QA. Inspection was requested by QA prior to handover.,"Stopped pour. Adjusted bars using approved spacers/chairs, re-tied reinforcement, re-checked cover readings. Verified formwork line/level. Prevent: spacer density checklist and mandatory pre-pour QA sign-off. Added an extra hold point to prevent recurrence.","concrete,qa"
C-003,Cable tray overfill,Additional cables installed and tray fill appears above recommended capacity. Overheating risk. Discovered during closing inspection.,"Checked tray fill and derating. Corrective: add parallel tray or reroute, verify separation and ampacity. Prevent: change request process and updated cable schedule. Updated the method statement and briefed the crew.","mep,electrical"
C-004,Low concrete strength test result,28-day cube results came back below specified strength for one pour. Risk of structural non-compliance and rework. Problem noted after a weather event.,"Checked sampling and cube curing. Verified mix design and batch tickets. Took in-situ cores and did rebound hammer mapping. If cores meet design, accept with engineer approval; if not, plan strengthening (jacketing/FRP) or partial demolition. Prevent: controlled cube curing box, tighter batching checks, and hold points. Captured before/after photos and updated as-built notes.","concrete,qa"
C-005,Rebar cover nonconformance (Phase 1),Cover meter inspection showed insufficient cover in localized areas before casting. Durability and corrosion risk flagged by QA. Inspection was requested by QA prior to handover.,"Stopped pour. Adjusted bars using approved spacers/chairs, re-tied reinforcement, re-checked cover readings. Verified formwork line/level. Prevent: spacer density checklist and mandatory pre-pour QA sign-off. Verified the fix through re-test and documented results.","concrete,qa"
C-006,Variation due to design change,Revised drawings changed scope and quantities. Contractor needs a clear variation submission. Discovered during closing inspection.,"Logged instruction, compared revisions, quantified deltas, priced per contract rates, and prepared time impact. Submitted formal variation with supporting BOQ and programme impacts. Prevent: strict change-control register. Recorded actions in the NCR log and obtained consultant sign-off.","contracts,claims"
C-007,Wet area tile debonding (Area B),Tiles sounded hollow and some debonded in a bathroom. Concern about substrate prep and waterproofing. Discovered during closing inspection.,"Removed affected tiles, checked screed moisture and waterproofing. Root cause: poor surface key and insufficient adhesive coverage. Re-screed if needed, re-waterproof with curing time, use correct adhesive and coverage checks. Prevent: substrate hold point and adhesive batch approval. Recorded actions in the NCR log and obtained consultant sign-off.","finishes,quality"
C-008,Cable tray overfill (Level 3),Additional cables installed and tray fill appears above recommended capacity. Overheating risk. Problem noted after a weather event.,"Checked tray fill and derating. Corrective: add parallel tray or reroute, verify separation and ampacity. Prevent: change request process and updated cable schedule. Recorded actions in the NCR log and obtained consultant sign-off.","mep,electrical"
C-009,Wet area tile debonding,Tiles sounded hollow and some debonded in a bathroom. Concern about substrate prep and waterproofing. Discovered during closing inspection.,"Removed affected tiles, checked screed moisture and waterproofing. Root cause: poor surface key and insufficient adhesive coverage. Re-screed if needed, re-waterproof with curing time, use correct adhesive and coverage checks. Prevent: substrate hold point and adhesive batch approval. Updated the method statement and briefed the crew.","finishes,quality"
C-010,Frequent MCB tripping (Basement),A DB circuit tripped repeatedly under normal load. Risk of overheating or faulty wiring. Client raised a concern during site walk.,"Isolated loads, measured current, tested insulation resistance, verified breaker rating. Root cause: loose neutral causing heating and nuisance trips. Corrective: re-terminate to proper torque, replace damaged breaker, re-test. Prevent: torque marking and thermal imaging spot checks. Verified the fix through re-test and documented results.","mep,electrical"
C-011,Honeycombing after formwork removal (Level 3),Voids and honeycombing observed on a column face after stripping. Possible lack of compaction and segregation. Issue appeared during routine testing.,"Assessed depth. If shallow: remove loose material, apply bonding agent, repair with approved mortar/micro-concrete and cure. If deep: engineer review (epoxy injection or recast). Prevent: trained vibrator operators, revised pour sequence, and suitable aggregate for congested zones. Verified the fix through re-test and documented results.","concrete,qa"
C-012,Hot work without permit (Phase 1),Hot work observed without valid permit-to-work. Fire and compliance risk. Inspection was requested by QA prior to handover.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Verified the fix through re-test and documented results.","safety,hse"
C-013,Cable tray overfill (Area B),Additional cables installed and tray fill appears above recommended capacity. Overheating risk. Client raised a concern during site walk.,"Checked tray fill and derating. Corrective: add parallel tray or reroute, verify separation and ampacity. Prevent: change request process and updated cable schedule. Added an extra hold point to prevent recurrence.","mep,electrical"
C-014,Honeycombing after formwork removal (Level 3),Voids and honeycombing observed on a column face after stripping. Possible lack of compaction and segregation. Inspection was requested by QA prior to handover.,"Assessed depth. If shallow: remove loose material, apply bonding agent, repair with approved mortar/micro-concrete and cure. If deep: engineer review (epoxy injection or recast). Prevent: trained vibrator operators, revised pour sequence, and suitable aggregate for congested zones. Verified the fix through re-test and documented results.","concrete,qa"
C-015,Low concrete strength test result (Level 3),28-day cube results came back below specified strength for one pour. Risk of structural non-compliance and rework. Client raised a concern during site walk.,"Checked sampling and cube curing. Verified mix design and batch tickets. Took in-situ cores and did rebound hammer mapping. If cores meet design, accept with engineer approval; if not, plan strengthening (jacketing/FRP) or partial demolition. Prevent: controlled cube curing box, tighter batching checks, and hold points. Captured before/after photos and updated as-built notes.","concrete,qa"
C-016,Hot work without permit (Level 3),Hot work observed without valid permit-to-work. Fire and compliance risk. Problem noted after a weather event.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Added an extra hold point to prevent recurrence.","safety,hse"
C-017,Pump breakdown mid-pour (Level 3),"Concrete pump failed mid-pour, risking cold joints and quality issues. Problem noted after a weather event.","Switched to backup pump, controlled pour interface, treated construction joint as required, ensured compaction and curing. Root cause: poor preventive maintenance. Prevent: standby plan and pre-pour equipment checks. Added an extra hold point to prevent recurrence.","concrete,qa"
C-018,Frequent MCB tripping (Phase 1),A DB circuit tripped repeatedly under normal load. Risk of overheating or faulty wiring. Client raised a concern during site walk.,"Isolated loads, measured current, tested insulation resistance, verified breaker rating. Root cause: loose neutral causing heating and nuisance trips. Corrective: re-terminate to proper torque, replace damaged breaker, re-test. Prevent: torque marking and thermal imaging spot checks. Updated the method statement and briefed the crew.","mep,electrical"
C-019,Rebar cover nonconformance (Level 3),Cover meter inspection showed insufficient cover in localized areas before casting. Durability and corrosion risk flagged by QA. Issue appeared during routine testing.,"Stopped pour. Adjusted bars using approved spacers/chairs, re-tied reinforcement, re-checked cover readings. Verified formwork line/level. Prevent: spacer density checklist and mandatory pre-pour QA sign-off. Verified the fix through re-test and documented results.","concrete,qa"
C-020,Paint blistering (Tower A),Blistering and peeling paint appeared after finishing. Client rejected during snagging. Problem noted after a weather event.,"Checked substrate moisture and curing time. Root cause: painting over damp plaster and wrong primer. Corrective: scrape, dry, apply sealer/primer, repaint. Prevent: moisture threshold checks before painting. Added an extra hold point to prevent recurrence.","finishes,quality"
C-021,Drain pipe slope issue,"Drainage line slope is less than required, causing slow drainage and blockage risk. Inspection was requested by QA prior to handover.","Surveyed invert levels, corrected hangers and re-laid section to achieve slope, performed flow test. Prevent: laser level verification and pre-close inspection. Verified the fix through re-test and documented results.","mep,plumbing"
C-022,Variation due to design change (Phase 1),Revised drawings changed scope and quantities. Contractor needs a clear variation submission. Issue appeared during routine testing.,"Logged instruction, compared revisions, quantified deltas, priced per contract rates, and prepared time impact. Submitted formal variation with supporting BOQ and programme impacts. Prevent: strict change-control register. Updated the method statement and briefed the crew.","contracts,claims"
C-023,Paint blistering (Basement),Blistering and peeling paint appeared after finishing. Client rejected during snagging. Inspection was requested by QA prior to handover.,"Checked substrate moisture and curing time. Root cause: painting over damp plaster and wrong primer. Corrective: scrape, dry, apply sealer/primer, repaint. Prevent: moisture threshold checks before painting. Recorded actions in the NCR log and obtained consultant sign-off.","finishes,quality"
C-024,Duct insulation damaged (Level 3),Duct insulation torn and loose during ceiling closure inspection. Issue appeared during routine testing.,"Repaired/replaced insulation, sealed joints, added protection in traffic zones. Root cause: damage by other trades. Prevent: coordination and protection before closing ceilings. Added an extra hold point to prevent recurrence.","mep,hvac"
C-025,Late material approval delay (Tower A),"Critical material submittal approval delayed, impacting programme and handover. Discovered during closing inspection.","Escalated through tracker, proposed equivalent alternates, and resequenced works. Prevent: earlier procurement plan and weekly approval reviews with defined turnaround. Captured before/after photos and updated as-built notes.","contracts,claims"
C-026,Cable tray overfill (Basement),Additional cables installed and tray fill appears above recommended capacity. Overheating risk. Inspection was requested by QA prior to handover.,"Checked tray fill and derating. Corrective: add parallel tray or reroute, verify separation and ampacity. Prevent: change request process and updated cable schedule. Recorded actions in the NCR log and obtained consultant sign-off.","mep,electrical"
C-027,HVAC low airflow complaint (Basement),Occupants reported weak airflow. Commissioning readings showed low CFM on multiple branches. Inspection was requested by QA prior to handover.,"Checked damper positions, duct leakage, filters, fan VFD settings, and balancing report. Root cause: dampers mis-set and filters clogged from early operation. Corrective: clean/replace filters, set VFD, seal leaks, re-balance. Prevent: staged commissioning and protection during finishing works. Recorded actions in the NCR log and obtained consultant sign-off.","mep,hvac"
C-028,Late material approval delay (Tower A),"Critical material submittal approval delayed, impacting programme and handover. Discovered during closing inspection.","Escalated through tracker, proposed equivalent alternates, and resequenced works. Prevent: earlier procurement plan and weekly approval reviews with defined turnaround. Captured before/after photos and updated as-built notes.","contracts,claims"
C-029,Frequent MCB tripping (Area B),A DB circuit tripped repeatedly under normal load. Risk of overheating or faulty wiring. Problem noted after a weather event.,"Isolated loads, measured current, tested insulation resistance, verified breaker rating. Root cause: loose neutral causing heating and nuisance trips. Corrective: re-terminate to proper torque, replace damaged breaker, re-test. Prevent: torque marking and thermal imaging spot checks. Added an extra hold point to prevent recurrence.","mep,electrical"
C-030,Early-age slab cracking (Basement),Hairline cracks appeared on a newly cast slab within 24–48 hours. Ambient temperature was high and curing was inconsistent. Concern about durability and client acceptance. Issue appeared during routine testing.,"Verified crack pattern and depth (visual + crack gauge). Checked mix tickets and site water addition. Root cause: plastic shrinkage from rapid evaporation and delayed curing. Immediate: start continuous curing (wet hessian + curing compound), shade area, restrict traffic. Prevent: schedule pours in cooler hours, windbreaks, strict slump control and no re-tempering. Updated the method statement and briefed the crew.","concrete,qa"
C-031,Drain pipe slope issue,"Drainage line slope is less than required, causing slow drainage and blockage risk. Problem noted after a weather event.","Surveyed invert levels, corrected hangers and re-laid section to achieve slope, performed flow test. Prevent: laser level verification and pre-close inspection. Recorded actions in the NCR log and obtained consultant sign-off.","mep,plumbing"
C-032,Basement wall leakage (Tower A),Seepage noted through a basement wall joint after rain. Risk of dampness and client complaint. Client raised a concern during site walk.,"Mapped leakage path and joint detail. Root cause: membrane discontinuity at construction joint. Corrective: expose joint, PU injection, reinstate membrane with correct overlap/termination, add waterstop where applicable. Prevent: joint detailing checklist and photo records before backfill. Updated the method statement and briefed the crew.","waterproofing,facade"
C-033,Scaffold guardrail missing (Basement),HSE inspection found missing guardrails/toe boards on scaffold platform. Fall risk immediate. Problem noted after a weather event.,"Stopped work, installed guardrails/toeboards, re-inspected and re-tagged scaffold. Root cause: scaffold altered after inspection. Prevent: daily checks and controls against unauthorized changes. Recorded actions in the NCR log and obtained consultant sign-off.","safety,hse"
C-034,Weld defects in NDT report (Basement),UT report indicated lack of fusion and porosity in welds. Structural integrity and acceptance criteria impacted. Problem noted after a weather event.,"Marked defects and executed repair per WPS: grind out, clean, control preheat, re-weld by qualified welder, re-test UT. Prevent: WPS briefing, in-process inspection, and parameter control. Verified the fix through re-test and documented results.","steel,qa"
C-035,HVAC low airflow complaint (Phase 1),Occupants reported weak airflow. Commissioning readings showed low CFM on multiple branches. Problem noted after a weather event.,"Checked damper positions, duct leakage, filters, fan VFD settings, and balancing report. Root cause: dampers mis-set and filters clogged from early operation. Corrective: clean/replace filters, set VFD, seal leaks, re-balance. Prevent: staged commissioning and protection during finishing works. Verified the fix through re-test and documented results.","mep,hvac"
C-036,HVAC low airflow complaint (Area B),Occupants reported weak airflow. Commissioning readings showed low CFM on multiple branches. Problem noted after a weather event.,"Checked damper positions, duct leakage, filters, fan VFD settings, and balancing report. Root cause: dampers mis-set and filters clogged from early operation. Corrective: clean/replace filters, set VFD, seal leaks, re-balance. Prevent: staged commissioning and protection during finishing works. Added an extra hold point to prevent recurrence.","mep,hvac"
C-037,Hot work without permit (Basement),Hot work observed without valid permit-to-work. Fire and compliance risk. Client raised a concern during site walk.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Updated the method statement and briefed the crew.","safety,hse"
C-038,Rebar cover nonconformance (Phase 1),Cover meter inspection showed insufficient cover in localized areas before casting. Durability and corrosion risk flagged by QA. Client raised a concern during site walk.,"Stopped pour. Adjusted bars using approved spacers/chairs, re-tied reinforcement, re-checked cover readings. Verified formwork line/level. Prevent: spacer density checklist and mandatory pre-pour QA sign-off. Updated the method statement and briefed the crew.","concrete,qa"
C-039,Hot work without permit (Phase 1),Hot work observed without valid permit-to-work. Fire and compliance risk. Inspection was requested by QA prior to handover.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Captured before/after photos and updated as-built notes.","safety,hse"
C-040,Cable tray overfill (Phase 1),Additional cables installed and tray fill appears above recommended capacity. Overheating risk. Issue appeared during routine testing.,"Checked tray fill and derating. Corrective: add parallel tray or reroute, verify separation and ampacity. Prevent: change request process and updated cable schedule. Added an extra hold point to prevent recurrence.","mep,electrical"
C-041,Early-age slab cracking (Phase 1),Hairline cracks appeared on a newly cast slab within 24–48 hours. Ambient temperature was high and curing was inconsistent. Concern about durability and client acceptance. Problem noted after a weather event.,"Verified crack pattern and depth (visual + crack gauge). Checked mix tickets and site water addition. Root cause: plastic shrinkage from rapid evaporation and delayed curing. Immediate: start continuous curing (wet hessian + curing compound), shade area, restrict traffic. Prevent: schedule pours in cooler hours, windbreaks, strict slump control and no re-tempering. Verified the fix through re-test and documented results.","concrete,qa"
C-042,Backfill settlement in trench (Level 3),Surface settlement and ponding occurred over a recently backfilled trench. Risk to paving and services. Discovered during closing inspection.,"Reviewed compaction records and moisture content. Root cause: inadequate compaction lifts and high moisture. Corrective: re-excavate, compact in 200–300 mm lifts to specified density, retest. Prevent: moisture control and independent density testing. Added an extra hold point to prevent recurrence.","earthworks,geotech"
C-043,Steel connection bolt mismatch (Area B),Bolt holes did not align for a steel beam connection during erection. Erection delayed and misfit suspected. Discovered during closing inspection.,Held erection. Verified drawing revision and as-built dimensions. Corrected by reaming within tolerance and using approved bolt grade/washer plates; otherwise fabricate replacement splice plate. Prevent: fit-up check before dispatch and strict revision control. Verified the fix through re-test and documented results.,"steel,qa"
C-044,Weep holes blocked (Area B),"Retaining wall drainage weep holes were clogged by debris, increasing hydrostatic pressure risk. Inspection was requested by QA prior to handover.","Cleared weep holes, inspected filter media/geotextile and drainage layer continuity. Prevent: protection during backfill and inspection before final cover. Captured before/after photos and updated as-built notes.","earthworks,geotech"
C-045,Hot work without permit (Level 3),Hot work observed without valid permit-to-work. Fire and compliance risk. Problem noted after a weather event.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Captured before/after photos and updated as-built notes.","safety,hse"
C-046,Scaffold guardrail missing (Basement),HSE inspection found missing guardrails/toe boards on scaffold platform. Fall risk immediate. Inspection was requested by QA prior to handover.,"Stopped work, installed guardrails/toeboards, re-inspected and re-tagged scaffold. Root cause: scaffold altered after inspection. Prevent: daily checks and controls against unauthorized changes. Captured before/after photos and updated as-built notes.","safety,hse"
C-047,Weep holes blocked (Basement),"Retaining wall drainage weep holes were clogged by debris, increasing hydrostatic pressure risk. Inspection was requested by QA prior to handover.","Cleared weep holes, inspected filter media/geotextile and drainage layer continuity. Prevent: protection during backfill and inspection before final cover. Updated the method statement and briefed the crew.","earthworks,geotech"
C-048,Rebar cover nonconformance (Phase 1),Cover meter inspection showed insufficient cover in localized areas before casting. Durability and corrosion risk flagged by QA. Problem noted after a weather event.,"Stopped pour. Adjusted bars using approved spacers/chairs, re-tied reinforcement, re-checked cover readings. Verified formwork line/level. Prevent: spacer density checklist and mandatory pre-pour QA sign-off. Updated the method statement and briefed the crew.","concrete,qa"
C-049,Honeycombing after formwork removal (Tower A),Voids and honeycombing observed on a column face after stripping. Possible lack of compaction and segregation. Discovered during closing inspection.,"Assessed depth. If shallow: remove loose material, apply bonding agent, repair with approved mortar/micro-concrete and cure. If deep: engineer review (epoxy injection or recast). Prevent: trained vibrator operators, revised pour sequence, and suitable aggregate for congested zones. Recorded actions in the NCR log and obtained consultant sign-off.","concrete,qa"
C-050,Honeycombing after formwork removal,Voids and honeycombing observed on a column face after stripping. Possible lack of compaction and segregation. Discovered during closing inspection.,"Assessed depth. If shallow: remove loose material, apply bonding agent, repair with approved mortar/micro-concrete and cure. If deep: engineer review (epoxy injection or recast). Prevent: trained vibrator operators, revised pour sequence, and suitable aggregate for congested zones. Updated the method statement and briefed the crew.","concrete,qa"